-0.092574    -0.092574    0.393604    0.602060    
0.087468    0.082189    0.216209    0.301030    
0.446624    0.434645    -0.139563    0.000000    
0.802492    0.802492    -0.501462    -0.301030    
1.170165    1.110236    -0.838138    -0.602060    
1.559365    1.425014    -1.185985    -0.903090    
1.754918    1.754918    -1.453888    -1.204120    
2.120184    1.754918    -1.599201    -1.505150    
2.120184    2.120184    -1.819154    -1.806180    
2.616645    2.120184    -2.286919    -2.107210    
2.616645    2.120184    -2.286919    -2.408240    
2.616645    2.120184    -2.286919    -2.709270    
2.616645    2.120184    -2.286919    -3.010300    
2.616645    2.120184    -2.286919    -3.311330    
2.616645    2.120184    -2.286919    -3.612360    
2.616645    2.120184    -2.286919    -3.913390    
2.616645    2.120184    -2.286919    -4.214420    
2.616645    2.120184    -2.286919    -4.515450    
2.616645    2.120184    -2.286919    -4.816480    
2.616645    2.120184    -2.286919    -5.117510    
2.616645    2.120184    -2.286919    -5.418540    
2.616645    2.120184    -2.286919    -5.719570    
2.616645    2.120184    -2.286919    -6.020600    
2.616645    2.120184    -2.286919    -6.321630    
2.616645    2.120184    -2.286919    -6.622660    
2.616645    2.120184    -2.286919    -6.923690    
2.616645    2.120184    -2.286919    -7.224720    
2.616645    2.120184    -2.286919    -7.525750    
2.616645    2.120184    -2.286919    -7.826780    
2.616645    2.120184    -2.286919    -8.127810    
