SellerName,SellerPct
SellerName_norcom,0.001242207
SellerName_sirva,0.001239641
SellerName_seatrust,0.001239641
SellerName_wolfefinancial,0.001229375
SellerName_simmonsfirstnationalbank,0.001213975
SellerName_milend,0.001203709
SellerName_directmortgage,0.001198576
SellerName_onq,0.001198576
SellerName_stockmanbankofmontana,0.00118831
SellerName_castlecooke,0.001185743
SellerName_georgemason,0.001178044
SellerName_nationonemortgage,0.001142112
SellerName_firstfinancialmortgage,0.001139546
SellerName_peoplesnationalbank,0.001139546
SellerName_firsthome,0.001134412
SellerName_americanportfolio,0.001131846
SellerName_wsfsmortgage,0.001103614
SellerName_clmmortgage,0.001088215
SellerName_firstequitymortgageinc,0.001075382
SellerName_themortgagelink,0.001067682
SellerName_generalmortgagecapitalcorporation,0.001059983
SellerName_usmortgage,0.001057416
SellerName_intercoastal,0.001031751
SellerName_radius,0.001016351
SellerName_libertyhomemortgage,0.001016351
SellerName_brandmortgage,0.001016351
SellerName_mjwfinancial,0.001003519
SellerName_armedforcesbankna,0.001003519
SellerName_franklinloan,0.000990686
SellerName_nfmlending,0.00098042
SellerName_altitudehomeloans,0.000962454
SellerName_neighborsbank,0.000959887
SellerName_polarishomefundingcorporation,0.000947055
SellerName_renasantbank,0.000947055
SellerName_willamettevalley,0.000941922
SellerName_jmac,0.000936789
SellerName_totalmortgage,0.000936789
SellerName_diamondresidential,0.000929089
SellerName_affordablemortgageadvisors,0.00090599
SellerName_aandnmortgageservices,0.00090599
SellerName_americanfederal,0.000903424
SellerName_firstfederalbankafsb,0.000900857
SellerName_keymortgageservices,0.000888024
SellerName_valleywestcorporation,0.000885458
SellerName_bayshoremortgagefunding,0.000885458
SellerName_bangorsavingsbank,0.000870058
SellerName_primemortgagelending,0.000864925
SellerName_alerusmortgage,0.000862359
SellerName_ntfn,0.000862359
SellerName_gmfs,0.000862359
SellerName_alphamortgagecorporation,0.000857226
SellerName_consumerrealestatefinanceco,0.000849526
SellerName_goldenempire,0.00083926
SellerName_rapidmortgagecompany,0.000836693
SellerName_directorsmortgage,0.000828994
SellerName_cbmmortgage,0.000826427
