LookId,SellerName,HedgeAdvisorName,AbaMemberBit,CommitPeriodGrp,LoanAmt,BaseLoanAmt,NoteRate,PropTypeName,PropUsageTypeName,PropUnitsCnt,MtgTypeName,LoanPurposeTypeName,DocumentationTypeName,AusTypeName,CreditScoreNum,LtvRatio,CltvRatio,EscrowImpoundBit,AppraisalWaiverBit,PropStateCd,RefiTypeName,RefiProgTypeName,AmortTypeName,AmortTermMonthsGrp,UnderwritingProgName,FirstTimeHomeBuyerBit,HighBalBit,PriorYrHighBalBit,GseAffordableProgBit,CraEligBit,BorrowerIncomeTypeName,CensusTractIncomeTypeName,CensusTractMinorityTypeName,LqaYellowBit,AmiLlpaCapEligBit,EligBit,ExecTypeName,ExecInvestorName,ExecMethodName,ProdCd,SpecName,Cpn,BaseSrvRate,ExcessSrvRate,BuyUpRate,BuyDnRate,BreakevenPrice,LlpaPrice,SpecPayupPrice,FeeAmt,VlipBit,LipBit,LirBit,LadBit,LacsBit,MasBit,LqaYellowProb,LoanAgeDays,BaseSrvMult,ExcessSrvMult,BuyUpMult,BuyDnMult,TotalDebtExpenseRatio,TotalMonthlyVerifiedIncomeAmt,UnknownTotalMonthlyVerifiedIncomeAmtBit,BenchMarginPrice,MarginPrice,WinBit,uidentifier
1934508,inspirehomeloans,mct,0,7,401013,401013,7.25,pud,primaryresidence,1,conf,purchase,full,du,753,90,90,1,0,ga,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,0,0,1,security,fglmc,cap,fgf30s,newprod,6.5,0.25,0.01,0,0,99.980855,-0.75,0.000122,320,0,0,0,0,0,0,0.0274,4,5.495,3.903,3.38,4.78,35.3,10419,0,-0.3241,0.039855,0,1
1934509,inspirehomeloans,mct,0,7,200000,200000,6.5,pud,primaryresidence,1,conf,purchase,full,du,808,29.056,29.056,0,0,wa,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,0,0,1,security,fglmc,buyup,fgf30s,bal 200k,5.5,0.25,0.25,0.01,0,98.012194,0,0.21875,320,0,0,0,0,0,0,0.0059,6,5.278,5.273,4.43,5.63,28.3,7944.38,0,-0.3241,0.000194,0,1
1934510,inspirehomeloans,mct,0,7,615460,615460,8.625,pud,primaryresidence,1,conf,purchase,full,du,800,78.919,78.919,1,0,ga,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,0,0,1,security,fglmc,buyup,fgf30s,newprod,7.5,0.25,0.25,0.135,0,104.195891,-0.375,0.000122,320,0,0,0,0,0,0,0.0071,1,4.677,2.821,2.1,3.6,42.1,16824.62,0,-0.3241,0.285143,1,1
1934511,inspirehomeloans,mct,0,7,272954,268260,7.25,singlefamily,primaryresidence,1,fha,purchase,full,du,711,96.5,96.5,1,0,nc,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,bal 275k,7,0.19,0,0,0,102.41522,0,0.25,320,0,0,0,0,0,0,0,7,5.71,4.719,0,0,49.4,6695.87,0,-0.3241,0.150385,0,1
1934512,inspirehomeloans,mct,0,7,228474,224545,6.75,pud,primaryresidence,1,fha,purchase,full,du,679,96.5,96.5,1,0,sc,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,6.5,0.19,0,0,0,100.171504,0,0.046875,320,0,0,0,0,0,0,0,6,2.681,5.107,0,0,34.2,14370.46,0,-0.3241,-0.100245,0,1
1934513,inspirehomeloans,mct,0,7,270008,265365,6.125,singlefamily,primaryresidence,1,fha,purchase,full,du,763,96.5,96.5,1,0,fl,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5.5,0.19,0.375,0,0,98.905353,0,0.001953,320,0,0,0,0,0,0,0,7,7.071,5.557,0,0,52.6,4966.42,0,-0.3241,0.629976,0,1
1934514,inspirehomeloans,mct,0,7,419874,419874,8.125,pud,primaryresidence,1,conf,purchase,full,du,818,60,60,1,0,ga,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,0,0,1,security,fglmc,buyup,fgf30s,newprod,7,0.25,0.25,0.135,0,103.31275,0,0.000122,320,0,0,0,0,0,0,0.0065,7,4.967,2.958,2.5,4,34.8,11752,0,-0.3241,0.000275,0,1
1934515,inspirehomeloans,mct,0,7,206091,206091,6.625,singlefamily,primaryresidence,1,conf,purchase,full,du,750,92.834,92.834,1,0,al,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,0,0,1,security,fglmc,buydn,fgf30s,bal 225k,6,0.25,0,0,0.115,97.910867,-0.625,0.21875,320,0,0,0,0,0,0,0.0323,7,5.635,4.86,4.27,5.47,33.2,7634.49,0,-0.3241,-0.000133,0,1
1934516,inspirehomeloans,mct,0,7,443578,443578,7.5,pud,primaryresidence,1,conf,purchase,full,du,785,60,60,0,0,wa,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,0,0,1,security,fglmc,buyup,fgf30s,newprod,6.5,0.25,0.25,0.01,0,101.33829,0,0.000122,320,0,0,0,0,0,0,0.0068,5,4.519,3.45,3.1,4.6,37.3,10833.34,0,-0.3241,0.00029,0,1
1934517,inspirehomeloans,mct,0,7,286490,286490,7.5,singlefamily,primaryresidence,1,conf,purchase,full,du,803,89.391,89.391,1,0,mi,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,0,0,1,security,fglmc,buyup,fgf30s,bal 300k,6.5,0.25,0.25,0.01,0,101.265034,-0.25,0.03125,320,0,0,0,0,0,0,0.0131,4,5.054,3.429,3.1,4.6,42.2,7083.33,0,-0.3241,0.040034,0,1
