LookId,SellerName,HedgeAdvisorName,AbaMemberBit,CommitPeriodGrp,LoanAmt,BaseLoanAmt,NoteRate,PropTypeName,PropUsageTypeName,PropUnitsCnt,MtgTypeName,LoanPurposeTypeName,DocumentationTypeName,AusTypeName,CreditScoreNum,LtvRatio,CltvRatio,EscrowImpoundBit,AppraisalWaiverBit,PropStateCd,RefiTypeName,RefiProgTypeName,AmortTypeName,AmortTermMonthsGrp,UnderwritingProgName,FirstTimeHomeBuyerBit,HighBalBit,PriorYrHighBalBit,GseAffordableProgBit,CraEligBit,BorrowerIncomeTypeName,CensusTractIncomeTypeName,CensusTractMinorityTypeName,LqaYellowBit,AmiLlpaCapEligBit,EligBit,ExecTypeName,ExecInvestorName,ExecMethodName,ProdCd,SpecName,Cpn,BaseSrvRate,ExcessSrvRate,BuyUpRate,BuyDnRate,BreakevenPrice,LlpaPrice,SpecPayupPrice,FeeAmt,VlipBit,LipBit,LirBit,LadBit,LacsBit,MasBit,LqaYellowProb,LoanAgeDays,BaseSrvMult,ExcessSrvMult,BuyUpMult,BuyDnMult,TotalDebtExpenseRatio,TotalMonthlyVerifiedIncomeAmt,UnknownTotalMonthlyVerifiedIncomeAmtBit,BenchMarginPrice,WinBit,MarginPrice
1878783,southeastmortgage,resi,0,7,226678,222780,6.875,singlefamily,primaryresidence,1,fha,purchase,full,du,687,94.8,94.8,1,0,ga,other,other,fixed,360,fhafixed30,1,0,0,0,1,moderate,middle,upper middle,0,0,1,security,gnmaii,gnsec,g2f30s,bal 250k,6.5,0.19,0.125,0,0,101.177173,0,0.21875,320,0,0,0,0,0,0,0,0,4.371,4.814,0,0,45.16,4160,0,-0.3677,0,-0.000225
1878787,southeastmortgage,resi,0,7,598500,598500,7.375,pud,primaryresidence,1,conf,purchase,full,du,778,95,95,1,0,ga,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,lower middle,0,0,1,security,fglmc,cap,fgf30s,ltv  95,6.5,0.25,0.135,0,0,100.612118,-0.5,0.003125,320,0,0,0,0,0,0,0.0128,0,5.265,3.571,2.926,4.527,26.17,21670,0,-0.3677,0,-0.000189
1878789,prestonhomeloansakalegacymortgage,mct,0,7,232750,232750,7.5,singlefamily,primaryresidence,1,conf,purchase,full,du,722,95,95,1,0,mi,other,other,fixed,360,fnmafixed30,1,0,0,0,1,moderate,middle,low,1,1,1,security,fnma,buyup,fnf30s,bal 250k,6.5,0.25,0.03,0.25,0,101.521746,0,0.21875,320,0,1,0,0,0,0,0.2616,3,5.045,3.879,3.192,4.447,41.8,4814.29,0,-0.3677,0,-0.190332
1878791,prestonhomeloansakalegacymortgage,mct,0,7,82650,82650,7.625,singlefamily,primaryresidence,1,conf,purchase,full,lp,733,95,95,1,0,mi,other,other,fixed,360,fhlmcfixed30,0,0,0,0,1,moderate,moderate,upper middle,0,0,1,security,fglmc,buyup,fgf30s,bal  85k,6.5,0.25,0.25,0.135,0,103.339339,-0.875,2.125,320,0,1,0,1,0,1,0,4,3.558,4.548,2.713,4.317,48.3,4919.75,0,-0.3677,0,-0.350277
1878792,prestonhomeloansakalegacymortgage,mct,0,7,100000,100000,6.75,singlefamily,primaryresidence,1,conf,refi,full,lp,671,35.714,40.372,1,0,mi,cashout,other,fixed,360,fhlmcfixed30,0,0,0,0,1,low,high,very low,0,0,1,security,fglmc,cap,fgf30s,bal 110k,6,0.25,0.01,0,0,99.004622,-1.5,1.40625,320,0,0,1,0,0,0,0,5,6.52,5.063,3.673,5.069,39.4,2500.5,0,-0.3677,0,-0.000325
1878793,prestonhomeloansakalegacymortgage,mct,0,7,68000,68000,7.5,singlefamily,investment,1,conf,refi,full,du,720,56.667,56.667,0,0,mi,cashout,other,fixed,360,fnmafixed30,0,0,0,0,1,upper,moderate,lower middle,0,0,1,security,fglmc,buyup,fgf30s,bal  85k,6.5,0.25,0.25,0.01,0,101.730574,-1.625,2.125,320,0,0,0,0,0,0,0.1164,3,3.052,4.504,2.809,4.412,36.4,9985.29,0,-0.3677,1,0.000237
1878795,prestonhomeloansakalegacymortgage,mct,0,7,235000,235000,6.99,singlefamily,primaryresidence,1,conf,refi,full,lp,760,70.149,70.149,1,0,mi,cashout,other,fixed,360,fhlmcfixed30,0,0,0,0,1,low,middle,very low,0,0,1,security,fglmc,cap,fgf30s,bal 250k,6,0.25,0.25,0,0,98.807896,-1.25,0.140625,320,0,0,1,0,0,0,0,5,5.81,4.153,3.533,4.829,45.8,4078.06,0,-0.3677,0,0.000952
1878798,prestonhomeloansakalegacymortgage,mct,0,7,116700,116700,7.99,singlefamily,investment,1,conf,purchase,full,lp,775,68.446,68.446,1,0,mi,other,other,fixed,360,fhlmcfixed30,0,0,0,0,0,upper,high,lower middle,0,0,1,security,fglmc,cap,fgf30s,bal 125k,7,0.25,0.25,0,0,102.983974,-1.625,1.4375,320,0,0,0,0,0,0,0,3,4.913,3.993,2.66,4.267,25.7,8546.29,0,-0.3677,0,-0.000042
1878799,aandnmortgageservices,mct,0,7,204440,204440,6.875,singlefamily,primaryresidence,1,conf,purchase,full,lp,792,76,76,1,0,il,other,other,fixed,360,fhlmcfixed30homepossible,0,0,0,1,1,low,high,low,0,0,1,security,fglmc,cap,fgf30s,bal 225k,6,0.25,0.135,0,0,100.205953,0,0.25,320,1,1,0,0,0,0,0,3,6.161,4.556,3.533,4.829,49.8,3685.48,0,-0.3677,0,-0.424005
1878800,aandnmortgageservices,mct,0,7,480000,480000,7.5,singlefamily,primaryresidence,1,conf,purchase,full,lp,794,80,80,1,0,il,other,other,fixed,360,fhlmcfixed30,0,0,0,0,0,upper,middle,low,0,0,1,security,fglmc,buyup,fgf30s,newprod,6.5,0.25,0.25,0.01,0,100.944764,-0.375,0.000122,320,0,0,0,0,0,0,0,3,4.96,2.935,2.809,4.412,38.6,12796.89,0,-0.3677,0,0.000444
