LookId,SellerName,HedgeAdvisorName,AbaMemberBit,CommitPeriodGrp,LoanAmt,BaseLoanAmt,NoteRate,PropTypeName,PropUsageTypeName,PropUnitsCnt,MtgTypeName,LoanPurposeTypeName,DocumentationTypeName,AusTypeName,CreditScoreNum,LtvRatio,CltvRatio,EscrowImpoundBit,AppraisalWaiverBit,PropStateCd,RefiTypeName,RefiProgTypeName,AmortTypeName,AmortTermMonthsGrp,UnderwritingProgName,FirstTimeHomeBuyerBit,HighBalBit,PriorYrHighBalBit,GseAffordableProgBit,CraEligBit,BorrowerIncomeTypeName,CensusTractIncomeTypeName,CensusTractMinorityTypeName,LqaYellowBit,AmiLlpaCapEligBit,EligBit,ExecTypeName,ExecInvestorName,ExecMethodName,ProdCd,SpecName,Cpn,BaseSrvRate,ExcessSrvRate,BuyUpRate,BuyDnRate,BreakevenPrice,LlpaPrice,SpecPayupPrice,FeeAmt,VlipBit,LipBit,LirBit,LadBit,LacsBit,MasBit,LqaYellowProb,LoanAgeDays,BaseSrvMult,ExcessSrvMult,BuyUpMult,BuyDnMult,TotalDebtExpenseRatio,TotalMonthlyVerifiedIncomeAmt,UnknownTotalMonthlyVerifiedIncomeAmtBit,BenchMarginPrice
1974174,onetrust,mct,0,7,859151,844375,5.5,pud,primaryresidence,1,fha,purchase,full,du,649,96.5,96.5,1,0,ca,other,other,fixed,360,fhafixed30highbal,0,1,1,0,0,upper,high,upper middle,0,0,0,security,gnmaii,gnsec,g2f30s,hb,5,0.19,0.25,0,0,96.490237,0,-0.002093,320,0,0,0,0,0,0,0,176,3.699,3.818,0,0,57,16031.11,0,-0.1873
1974175,onetrust,mct,0,7,153000,153000,8.39,singlefamily,investment,1,conf,purchase,full,du,701,85,85,1,0,tx,other,other,fixed,360,fnmafixed30,0,0,0,0,1,low,moderate,upper middle,0,0,0,security,fglmc,cap,fgf30s,bal 175k,7.5,0.25,0.15,0,0,99.507492,-5.625,0.71875,320,0,0,0,0,0,0,0.1437,142,4.329,4.275,1.967,3.467,21.8,2870.26,0,-0.1873
1974178,onetrust,mct,0,7,461487,453550,6.25,singlefamily,primaryresidence,1,fha,purchase,full,du,659,96.5,96.5,1,0,ca,other,other,fixed,360,fhafixed30,0,0,0,0,1,upper,moderate,upper middle,0,0,0,security,gnmaii,gnsec,g2f30s,newprod,6,0.19,0,0,0,99.792835,0,0.019531,320,0,0,0,0,0,0,0,151,2.398,3.882,0,0,44.1,12933,0,-0.1873
1974179,onetrust,mct,0,7,388000,388000,6.875,singlefamily,primaryresidence,1,conf,purchase,full,du,708,97,97,1,0,wa,other,other,fixed,360,fnmafixed30,1,0,0,0,1,middle,moderate,upper middle,1,1,0,security,fnma,buyup,fnf30s,ltv  95,6,0.25,0,0.155,0,100.500693,0,0.003125,320,0,1,0,1,0,1,0.3036,172,5.296,4.44,3.816,5.316,41.2,7899.45,0,-0.1873
1974180,onetrust,mct,0,7,298984,293842,6.75,singlefamily,primaryresidence,1,fha,purchase,full,du,712,96.5,96.5,1,0,tx,other,other,fixed,300,fhafixed25,0,0,0,0,0,upper,high,upper middle,0,0,0,security,gnmaii,gnsec,g2f30s,newprod,6.5,0.19,0,0,0,101.904146,0,0.03125,320,0,0,0,0,0,0,0,164,6.802,5.121,0,0,52.3,9659.63,0,-0.1873
1974182,onetrust,mct,0,7,335805,330030,6.5,singlefamily,primaryresidence,1,fha,purchase,full,du,622,96.5,96.5,1,0,tx,other,other,fixed,360,fhafixed30,1,0,0,0,0,upper,middle,lower middle,0,0,0,security,gnmaii,gnsec,g2f30s,newprod,6,0.19,0.25,0,0,100.786378,0,0.019531,320,0,0,0,0,0,0,0,120,1.686,4.468,0,0,55.1,10078,0,-0.1873
1974187,onetrust,mct,0,7,250000,250000,5.875,unit2to4,investment,2,conf,purchase,full,du,801,60.976,60.976,1,0,tx,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,middle,upper middle,0,0,0,security,fglmc,cap,fgf30s,tx,5,0.25,0.135,0,0,94.968929,-2,0.003125,320,0,0,0,0,0,0,0.0061,118,8.188,5.989,4.909,6.109,22.4,27122.62,0,-0.1873
1974188,onetrust,mct,0,7,818800,818800,6,singlefamily,primaryresidence,1,conf,purchase,full,du,751,92,92,1,0,ca,other,other,fixed,360,fnmafixed30highbal,1,1,1,0,0,upper,middle,lower middle,1,1,0,security,fnma,buyup,fnf30s,hb,5,0.25,0.03,0.25,0,96.449417,0,-0.001718,320,0,0,0,0,0,0,0.3374,105,5.437,4.049,4.113,5.863,46.2,13000,0,-0.1873
1974189,onetrust,mct,0,7,282000,282000,6.75,singlefamily,primaryresidence,1,conf,refi,full,du,638,60,60,1,1,az,nocashout,other,fixed,360,fnmafixed30,0,0,0,0,0,middle,middle,lower middle,0,0,0,security,fglmc,cap,fgf30s,fico <700,6,0.25,0.01,0,0,99.626511,-0.375,0.003125,320,0,0,0,0,0,0,0.1392,101,4.772,3.579,3.779,5.079,31.5,6791,0,-0.1873
1974190,onetrust,mct,0,7,651200,651200,6.75,singlefamily,primaryresidence,1,conf,purchase,full,du,806,80,80,1,0,wa,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,middle,low,0,0,0,security,fglmc,cap,fgf30s,newprod,6,0.25,0.01,0,0,99.662192,-0.375,0.001953,320,0,0,0,0,0,0,0.0215,106,4.991,3.531,3.779,5.079,46.2,10638.83,0,-0.1873
1974191,onetrust,mct,0,7,550905,550905,5.75,pud,primaryresidence,1,conf,purchase,full,du,783,95,95,1,0,tx,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,lower middle,0,0,0,security,fglmc,cap,fgf30s,ltv  95,5,0.25,0.01,0,0,95.682126,-0.25,0.003125,320,0,0,0,0,0,0,0.0709,116,7.081,5.178,5.019,6.219,49.6,14075.26,0,-0.1873
1974192,onetrust,mct,0,7,425000,425000,6.125,pud,primaryresidence,1,conf,purchase,full,du,811,85,85,1,0,wa,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,low,0,0,0,security,fglmc,buyup,fgf30s,newprod,5,0.25,0.25,0.135,0,96.951136,-0.375,0.000122,320,0,0,0,0,0,0,0.0058,98,5.748,4.638,4.599,5.799,24.9,21435.95,0,-0.1873
1974194,onetrust,mct,0,7,656000,656000,6.25,singlefamily,primaryresidence,1,conf,purchase,full,lp,712,80,80,1,0,ca,other,other,fixed,360,fhlmcfixed30,1,0,0,0,0,upper,high,upper middle,0,0,0,security,fglmc,cap,fgf30s,newprod,5.5,0.25,0.01,0,0,96.441216,-1.375,0.000122,320,0,0,0,0,0,0,0,91,5.123,3.785,4.469,5.669,48.7,11924.48,0,-0.1873
1974195,onetrust,mct,0,7,544000,544000,6.875,singlefamily,primaryresidence,1,conf,purchase,full,du,693,80,80,1,0,tx,other,other,fixed,360,fnmafixed30,1,0,0,0,0,upper,high,lower middle,0,0,0,security,fglmc,cap,fgf30s,tx,6,0.25,0.135,0,0,99.165351,-1.75,0.003906,320,0,0,0,0,0,0,0.1569,109,6.26,4.244,3.601,4.801,40.6,20590.31,0,-0.1873
1974196,onetrust,mct,0,7,353479,347400,6,pud,primaryresidence,1,fha,purchase,full,du,665,96.5,96.5,1,0,tx,other,other,fixed,360,fhafixed30,1,0,0,0,0,middle,high,lower middle,0,0,0,security,gnmaii,gnsec,g2f30s,newprod,5.5,0.19,0.25,0,0,99.258624,0,0.001953,320,0,0,0,0,0,0,0,105,4.804,4.975,0,0,57,8552.13,0,-0.1873
1974201,onetrust,mct,0,7,410815,403750,5.5,singlefamily,primaryresidence,1,fha,purchase,full,du,747,95,95,1,0,ca,other,other,fixed,360,fhafixed30,1,0,0,0,0,upper,middle,low,0,0,0,security,gnmaii,gnsec,g2f30s,newprod,5,0.19,0.25,0,0,97.06072,0,0.001953,320,0,0,0,0,0,0,0,92,5.947,4.366,0,0,49.2,11375,0,-0.1873
1974202,onetrust,mct,0,7,343660,337750,5.625,singlefamily,primaryresidence,1,fha,purchase,full,du,653,96.5,96.5,1,0,fl,other,other,fixed,360,fhafixed30,1,0,0,0,0,middle,middle,lower middle,0,0,0,security,gnmaii,gnsec,g2f30s,newprod,5,0.19,0.375,0,0,96.934226,0,0.001953,320,0,0,0,0,0,0,0,91,1.723,4.702,0,0,54.7,6083.35,0,-0.1873
1974205,onetrust,mct,0,7,967500,967500,6.625,singlefamily,primaryresidence,1,conf,purchase,full,du,787,90,90,1,0,ca,other,other,fixed,360,fnmafixed30highbal,1,1,1,0,0,upper,middle,upper middle,0,0,0,security,fglmc,buydn,fgf30s,hb,6,0.25,0,0,0.115,98.109776,-1.25,-0.001218,320,0,0,0,0,0,0,0.0091,95,4.947,3.506,3.542,5.532,39.7,20370.67,0,-0.1873
1974209,onetrust,mct,0,7,517750,517750,6.625,singlefamily,primaryresidence,1,conf,purchase,full,du,735,95,95,1,0,wa,other,other,fixed,360,fnmafixed30,1,0,0,0,1,upper,moderate,lower middle,0,0,0,security,fglmc,buydn,fgf30s,ltv  95,6,0.25,0,0,0.115,98.584565,-0.875,0.003125,320,0,0,0,1,1,0,0.1094,95,5.223,4.012,3.959,5.159,38.2,14584.27,0,-0.1873
1974251,onetrust,mct,0,7,461268,461268,7.25,pud,primaryresidence,1,conf,purchase,full,du,682,95,95,1,0,sc,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,lower middle,1,0,0,security,fnma,buyup,fnf30s,ltv  95,6.5,0.25,0,0.03,0,100.195937,-1.375,0.003125,320,0,0,0,0,0,0,0.3226,168,4.93,3.787,3.445,4.805,36.5,13752,0,-0.1873
1974252,onetrust,mct,0,7,384276,372000,6.375,pud,primaryresidence,1,va,purchase,full,du,687,100,100,1,0,sc,other,other,fixed,360,vafixed30,0,0,0,0,1,moderate,middle,lower middle,0,0,0,security,gnmaii,gnsec,g2f30s,newprod,6,0.19,0.125,0,0,100.492068,0,0.019531,320,0,0,0,0,0,0,0,102,3.599,3.721,0,0,63,5791.23,0,-0.1873
